event_type,node,reason,task_id,time,vehicle_id
task_released,,,1,3,
task_completed,,,1,10,
vehicle_became_idle,,reach_depot,,18,0
task_released,,,18,24,
task_completed,,,18,28,
vehicle_became_idle,,reach_depot,,33,0
task_released,,,16,38,
task_released,,,23,44,
task_completed,,,16,44,
vehicle_became_idle,,reach_depot,,51,0
task_completed,,,23,55,
task_released,,,8,61,
task_released,,,14,61,
task_released,,,20,62,
task_released,,,26,62,
task_completed,,,20,64,
vehicle_became_idle,,reach_depot,,67,1
vehicle_became_idle,,reach_depot,,67,4
task_completed,,,14,69,
task_released,,,2,71,
task_completed,,,8,71,
task_completed,,,26,73,
task_released,,,7,77,
task_released,,,10,77,
vehicle_became_idle,,reach_depot,,78,0
task_released,,,11,80,
task_completed,,,2,81,
vehicle_became_idle,,reach_depot,,82,2
vehicle_became_idle,,reach_depot,,85,3
task_released,,,24,88,
task_completed,,,11,88,
task_completed,,,10,88,
task_released,,,19,89,
task_completed,,,7,90,
task_completed,,,24,90,
task_released,,,4,92,
vehicle_became_idle,,reach_depot,,92,1
vehicle_became_idle,,reach_depot,,93,3
vehicle_became_idle,,reach_depot,,94,2
task_completed,,,4,95,
vehicle_became_idle,,reach_depot,,98,1
vehicle_became_idle,,reach_depot,,100,4
vehicle_became_idle,,reach_depot,,102,0
charge_unreachable,0,,,102,0
charge_unreachable,0,,,103,0
charge_unreachable,0,,,104,0
charge_unreachable,0,,,105,0
task_completed,,,19,105,
charge_unreachable,0,,,106,0
charge_unreachable,0,,,107,0
charge_unreachable,0,,,108,0
charge_unreachable,0,,,109,0
charge_unreachable,0,,,110,0
charge_unreachable,0,,,111,0
charge_unreachable,0,,,112,0
charge_unreachable,0,,,113,0
charge_unreachable,0,,,114,0
charge_unreachable,0,,,115,0
task_released,,,22,116,
charge_unreachable,0,,,116,0
charge_unreachable,0,,,117,0
vehicle_became_idle,,reach_depot,,117,3
charge_unreachable,0,,,118,0
charge_unreachable,0,,,119,0
task_released,,,12,120,
charge_unreachable,0,,,120,0
charge_unreachable,0,,,121,0
charge_unreachable,0,,,122,0
charge_unreachable,0,,,123,0
charge_unreachable,0,,,124,0
charge_unreachable,0,,,125,0
task_completed,,,12,125,
charge_unreachable,0,,,126,0
charge_unreachable,0,,,127,0
task_released,,,13,128,
charge_unreachable,0,,,128,0
charge_unreachable,0,,,129,0
charge_unreachable,0,,,130,0
task_completed,,,22,130,
charge_unreachable,0,,,131,0
vehicle_became_idle,,reach_depot,,131,2
charge_unreachable,0,,,132,0
task_released,,,3,133,
task_released,,,21,133,
task_released,,,29,133,
charge_unreachable,0,,,133,0
task_completed,,,13,133,
charge_unreachable,0,,,134,0
charge_unreachable,0,,,135,0
charge_unreachable,0,,,136,0
charge_unreachable,0,,,137,0
charge_unreachable,0,,,138,0
task_released,,,25,139,
charge_unreachable,0,,,139,0
vehicle_became_idle,,reach_depot,,139,3
charge_unreachable,0,,,140,0
charge_unreachable,0,,,141,0
charge_unreachable,0,,,142,0
task_completed,,,21,142,
charge_unreachable,0,,,143,0
charge_unreachable,0,,,144,0
charge_unreachable,0,,,145,0
vehicle_became_idle,,reach_depot,,145,1
charge_unreachable,0,,,145,1
task_completed,,,25,145,
task_released,,,0,146,
charge_unreachable,0,,,146,0
charge_unreachable,0,,,146,1
charge_unreachable,0,,,147,0
charge_unreachable,0,,,147,1
charge_unreachable,0,,,148,0
charge_unreachable,0,,,148,1
task_released,,,9,149,
task_released,,,27,149,
charge_unreachable,0,,,149,0
charge_unreachable,0,,,149,1
task_completed,,,29,149,
charge_unreachable,0,,,150,0
charge_unreachable,0,,,150,1
charge_unreachable,0,,,151,0
charge_unreachable,0,,,151,1
vehicle_became_idle,,reach_depot,,151,3
charge_unreachable,0,,,151,3
charge_unreachable,0,,,152,0
charge_unreachable,0,,,152,1
vehicle_became_idle,,reach_depot,,152,2
charge_unreachable,0,,,152,3
task_released,,,17,153,
charge_unreachable,0,,,153,0
charge_unreachable,0,,,153,1
charge_unreachable,0,,,153,3
task_released,,,5,154,
charge_unreachable,0,,,154,0
charge_unreachable,0,,,154,1
charge_unreachable,0,,,154,3
task_released,,,15,155,
charge_unreachable,0,,,155,0
charge_unreachable,0,,,155,1
charge_unreachable,0,,,155,3
charge_unreachable,0,,,156,0
charge_unreachable,0,,,156,1
charge_unreachable,0,,,156,3
charge_unreachable,0,,,157,0
charge_unreachable,0,,,157,1
task_completed,,,9,157,
charge_unreachable,0,,,157,3
charge_unreachable,0,,,158,0
charge_unreachable,0,,,158,1
charge_unreachable,0,,,158,3
charge_unreachable,0,,,159,0
charge_unreachable,0,,,159,1
charge_unreachable,0,,,159,3
charge_unreachable,0,,,160,0
charge_unreachable,0,,,160,1
charge_unreachable,0,,,160,3
charge_unreachable,0,,,161,0
charge_unreachable,0,,,161,1
charge_unreachable,0,,,161,3
charge_unreachable,0,,,162,0
charge_unreachable,0,,,162,1
vehicle_became_idle,,reach_depot,,162,2
charge_unreachable,0,,,162,2
charge_unreachable,0,,,162,3
charge_unreachable,0,,,163,0
charge_unreachable,0,,,163,1
charge_unreachable,0,,,163,2
charge_unreachable,0,,,163,3
charge_unreachable,0,,,164,0
charge_unreachable,0,,,164,1
charge_unreachable,0,,,164,2
charge_unreachable,0,,,164,3
charge_unreachable,0,,,165,0
charge_unreachable,0,,,165,1
charge_unreachable,0,,,165,2
charge_unreachable,0,,,165,3
charge_unreachable,0,,,166,0
charge_unreachable,0,,,166,1
charge_unreachable,0,,,166,2
charge_unreachable,0,,,166,3
vehicle_became_idle,,reach_depot,,166,4
charge_unreachable,0,,,167,0
charge_unreachable,0,,,167,1
charge_unreachable,0,,,167,2
charge_unreachable,0,,,167,3
charge_unreachable,0,,,168,0
charge_unreachable,0,,,168,1
charge_unreachable,0,,,168,2
charge_unreachable,0,,,168,3
charge_unreachable,0,,,169,0
charge_unreachable,0,,,169,1
charge_unreachable,0,,,169,2
charge_unreachable,0,,,169,3
charge_unreachable,0,,,170,0
charge_unreachable,0,,,170,1
charge_unreachable,0,,,170,2
charge_unreachable,0,,,170,3
charge_unreachable,0,,,171,0
charge_unreachable,0,,,171,1
charge_unreachable,0,,,171,2
charge_unreachable,0,,,171,3
task_released,,,6,172,
task_released,,,28,172,
charge_unreachable,0,,,172,0
charge_unreachable,0,,,172,1
charge_unreachable,0,,,172,2
charge_unreachable,0,,,172,3
charge_unreachable,0,,,173,0
charge_unreachable,0,,,173,1
charge_unreachable,0,,,173,2
charge_unreachable,0,,,173,3
charge_unreachable,0,,,174,0
